time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
56,0.4572714824302524,4185,235416,-0.053849474,335376,0.001,2308,102.0,0.001642269291515535,-7.89010014
56,0.4571026779857336,4192,235824,-0.06877064,335784,0.001,2312,102.0,0.0012705767850788748,-7.911503879999999
56,0.436868607413535,4199,236232,-0.04504037,336192,0.001,2316,102.0,0.0012709960331752275,-7.903831159999999
56,0.45208297699105504,4206,236640,-0.0717033,336600,0.001,2320,102.0,0.0017376501587112252,-7.951848699999999
56,0.4617423280781391,4213,237048,-0.088281155,337008,0.001,2324,102.0,0.0015961354234319764,-7.932218680000001
56,0.45418564478556317,4221,237456,-0.087130874,337416,0.001,2328,102.0,0.0016470413869612065,-7.93867119
56,0.45774787868939193,4228,237864,-0.06859727,337824,0.001,2332,102.0,0.0014027607942219166,-7.937042570000001
56,0.45872657088672414,4235,238272,-0.07438883,338232,0.001,2336,102.0,0.0013173707355984814,-7.981079480000002
56,0.43201857542290406,4242,238680,-0.13228585,338640,0.001,2340,102.0,0.0012946664704513217,-7.969578930000001
56,0.44467374711644414,4249,239088,-0.053003807,339048,0.001,2344,102.0,0.0020368527056074098,-7.993724560000001
56,0.4394172570284675,4256,239496,-0.066817105,339456,0.001,2348,102.0,0.0014826321257358215,-7.9879588099999985
56,0.44398118467891917,4264,239904,-0.09443948,339864,0.001,2352,102.0,0.0015520963942810126,-7.994140659999999
56,0.4319798645435595,4271,240312,-0.10210755,340272,0.001,2356,102.0,0.0013738444967220501,-7.993296839999999
56,0.45456362822476554,4278,240720,-0.08013875,340680,0.001,2360,102.0,0.0014688042223604176,-8.018686100000002
56,0.44514330491131426,4285,241128,-0.09320365,341088,0.001,2364,102.0,0.0012861298555257165,-8.050572429999999
56,0.44147882829694185,4292,241536,-0.093500115,341496,0.001,2368,102.0,0.0013877616706760782,-8.02960284
56,0.46974727102354463,4299,241944,-0.0974231,341904,0.001,2372,102.0,0.0013500907057901962,-7.99956671
56,0.43861013124970827,4307,242352,-0.087281704,342312,0.001,2376,102.0,0.0014027559191876493,-7.98955678
56,0.44055254932712107,4314,242760,-0.051857993,342720,0.001,2380,102.0,0.0022836099778228967,-7.999585249999999
56,0.45690545205976446,4321,243168,-0.05213773,343128,0.001,2384,102.0,0.0015593346755600115,-8.04503773
